URL,Headline,Description,price,productImage,Plp-image Description,imageBack,Rating
https://www.ikea.com/de/en/p/brimnes-wardrobe-with-3-doors-white-40407922/,BRIMNES,"Wardrobe with 3 doors , white , 117x50x190 cm",149.00€,https://www.ikea.com/de/en/images/products/brimnes-wardrobe-with-3-doors-white__0176787_pe329567_s5.jpg?f=xxs,"White BRIMNES wardrobe with mirrored door, panel design, adjustable shelves for space-saving storage.",https://www.ikea.com/de/en/images/products/brimnes-wardrobe-with-3-doors-white__0746973_pe744299_s5.jpg?f=xxs,Review: 4.4 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/kleppstad-wardrobe-with-2-doors-white-80437234/,KLEPPSTAD,"Wardrobe with 2 doors , white , 79x55x176 cm",69.00€,https://www.ikea.com/de/en/images/products/kleppstad-wardrobe-with-2-doors-white__0733324_pe748781_s5.jpg?f=xxs,"A white KLEPPSTAD wardrobe with two doors, simple and functional design for storage.",https://www.ikea.com/de/en/images/products/kleppstad-wardrobe-with-2-doors-white__0733323_pe748780_s5.jpg?f=xxs,Review: 4.4 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/kleppstad-wardrobe-with-3-doors-white-00441758/,KLEPPSTAD,"Wardrobe with 3 doors , white , 117x55x176 cm",119.00€,https://www.ikea.com/de/en/images/products/kleppstad-wardrobe-with-3-doors-white__0753594_pe748782_s5.jpg?f=xxs,"KLEPPSTAD: white, 3-door wardrobe, simple design for storage.",https://www.ikea.com/de/en/images/products/kleppstad-wardrobe-with-3-doors-white__0813670_ph165843_s5.jpg?f=xxs,Review: 4.3 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/rakkestad-wardrobe-with-3-doors-black-brown-70453762/,RAKKESTAD,"Wardrobe with 3 doors , black-brown , 117x176 cm",149.00€,https://www.ikea.com/de/en/images/products/rakkestad-wardrobe-with-3-doors-black-brown__0823987_pe776018_s5.jpg?f=xxs,"Black RAKKESTAD wardrobe: 3-door, dark wood finish. Sleek, rectangular design with modern style.",https://www.ikea.com/de/en/images/products/rakkestad-wardrobe-with-3-doors-black-brown__0780434_pe760492_s5.jpg?f=xxs,Review: 4.4 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/songesand-wardrobe-white-90347351/,SONGESAND,"Wardrobe , white , 120x60x191 cm",199.00€,https://www.ikea.com/de/en/images/products/songesand-wardrobe-white__0555120_pe660185_s5.jpg?f=xxs,"SONGESAND wardrobe - white, mirror door, black handles.",https://www.ikea.com/de/en/images/products/songesand-wardrobe-white__1358621_pe953903_s5.jpg?f=xxs,Review: 4.4 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/brimnes-wardrobe-with-2-doors-white-40400478/,BRIMNES,"Wardrobe with 2 doors , white , 78x50x190 cm",99.99€,https://www.ikea.com/de/en/images/products/brimnes-wardrobe-with-2-doors-white__0140624_pe300605_s5.jpg?f=xxs,"Displays a white wardrobe named BRIMNES with dual doors for efficient storage, ideal for small spaces.",https://www.ikea.com/de/en/images/products/brimnes-wardrobe-with-2-doors-white__0796451_pe766373_s5.jpg?f=xxs,Review: 4.5 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/pax-forsand-wardrobe-white-white-s09502728/,PAX / FORSAND,"Wardrobe , white/white , 250x60x201 cm",560.00€,https://www.ikea.com/de/en/images/products/pax-forsand-wardrobe-white-white__1197448_pe903536_s5.jpg?f=xxs,"A white ikea PAX wardrobe with open doors, revealing shelves and a basket.",https://www.ikea.com/de/en/images/products/pax-forsand-wardrobe-white-white__1103604_pe867332_s5.jpg?f=xxs,Review: 3.3 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/pax-hasvik-wardrobe-white-white-s39503156/,PAX / HASVIK,"Wardrobe , white/white , 200x66x201 cm",380.00€,https://www.ikea.com/de/en/images/products/pax-hasvik-wardrobe-white-white__1119867_pe873628_s5.jpg?f=xxs,"A white PAX wardrobe with sliding doors, featuring shelves inside.",https://www.ikea.com/de/en/images/products/pax-hasvik-wardrobe-white-white__1182224_pe897075_s5.jpg?f=xxs,Review: 4 out of 5 stars. Total reviews:
https://www.ikea.com/de/en/p/bruksvara-wardrobe-with-sliding-doors-white-80575881/,BRUKSVARA,"Wardrobe with sliding doors , white , 80x191 cm",99.00€,https://www.ikea.com/de/en/images/products/bruksvara-wardrobe-with-sliding-doors-white__1264932_pe927466_s5.jpg?f=xxs,"White BRUKSVARA wardrobe with rail, shelf, drawer, & hooks for versatile storage.",https://www.ikea.com/de/en/images/products/bruksvara-wardrobe-with-sliding-doors-white__1287299_pe933893_s5.jpg?f=xxs,
https://www.ikea.com/de/en/p/rakkestad-wardrobe-with-2-doors-black-brown-50453758/,RAKKESTAD,"Wardrobe with 2 doors , black-brown , 79x176 cm",119.00€,https://www.ikea.com/de/en/images/products/rakkestad-wardrobe-with-2-doors-black-brown__0780372_pe760493_s5.jpg?f=xxs,"Black RAKKESTAD wardrobe with sleek design and two doors. Modern, tall, rectangular shape with wood-like fiberboard.",https://www.ikea.com/de/en/images/products/rakkestad-wardrobe-with-2-doors-black-brown__0780433_pe760498_s5.jpg?f=xxs,Review: 4.4 out of 5 stars. Total reviews:
